problem_id,iteration,dataset_type,status,passed_public,failed_public,timeout_public,passed_private,failed_private,timeout_private,passed_generate,failed_generate,timeout_generate,total_passed,total_failed,total_timeout,total_tests,dataset_name,results_directory
0,iteration_0,test,FAILED,0,1,0,0,0,0,117,83,0,117,84,0,201,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\test\gpt-3.5-turbo\results
1,iteration_0,test,FAILED,2,0,0,2,5,0,13,187,0,17,192,0,209,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\test\gpt-3.5-turbo\results
2,iteration_0,test,FAILED,0,3,0,1,2,0,4,196,0,5,201,0,206,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\test\gpt-3.5-turbo\results
3,iteration_0,test,FAILED,1,4,0,14,55,0,121,79,0,136,138,0,274,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\test\gpt-3.5-turbo\results
4,iteration_0,test,FAILED,0,2,0,1,1,0,12,188,0,13,191,0,204,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\test\gpt-3.5-turbo\results
0,iteration_0,valid,FAILED,0,2,0,1,1,0,4,196,0,5,199,0,204,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
1,iteration_0,valid,FAILED,0,2,0,0,0,1,0,4,1,0,6,2,8,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
2,iteration_0,valid,FAILED,1,2,0,0,0,0,25,175,0,26,177,0,203,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
3,iteration_0,valid,PASSED,4,0,0,5,0,0,91,0,0,100,0,0,100,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
4,iteration_0,valid,PASSED,1,0,0,3,0,0,200,0,0,204,0,0,204,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
5,iteration_0,valid,PASSED,1,0,0,1,0,0,200,0,0,202,0,0,202,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
6,iteration_0,valid,FAILED,0,2,0,2,3,0,7,193,0,9,198,0,207,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
7,iteration_0,valid,FAILED,0,1,0,0,6,1,5,61,1,5,68,2,75,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
8,iteration_0,valid,PASSED,1,0,0,4,0,0,200,0,0,205,0,0,205,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
9,iteration_0,valid,FAILED,0,1,0,1,3,0,1,199,0,2,203,0,205,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
10,iteration_0,valid,FAILED,0,1,0,0,2,0,0,200,0,0,203,0,203,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
11,iteration_0,valid,PASSED,1,0,0,0,0,0,200,0,0,201,0,0,201,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
12,iteration_0,valid,FAILED,0,1,0,22,69,0,16,184,0,38,254,0,292,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
